[2021-12-30 03:35:08,160] Iter: [2500/56000]	Time 0.397 (0.397)	Data 0.006 (0.006)	loss: 0.2105 (0.1872)	lr 0.001
[2021-12-30 03:35:47,839] Iter: [2600/56000]	Time 0.395 (0.396)	Data 0.006 (0.006)	loss: 0.1845 (0.1915)	lr 0.001
[2021-12-30 03:36:27,550] Iter: [2700/56000]	Time 0.398 (0.397)	Data 0.005 (0.005)	loss: 0.1602 (0.2052)	lr 0.001
[2021-12-30 03:37:07,192] Iter: [2800/56000]	Time 0.396 (0.396)	Data 0.006 (0.006)	loss: 0.1754 (0.1764)	lr 0.001
[2021-12-30 03:37:46,834] Iter: [2900/56000]	Time 0.397 (0.397)	Data 0.005 (0.006)	loss: 0.1768 (0.1588)	lr 0.001
[2021-12-30 03:38:26,507] Iter: [3000/56000]	Time 0.395 (0.397)	Data 0.005 (0.006)	loss: 0.1377 (0.1853)	lr 0.001
[2021-12-30 03:39:06,192] Iter: [3100/56000]	Time 0.396 (0.396)	Data 0.005 (0.006)	loss: 0.2086 (0.1739)	lr 0.001
[2021-12-30 03:39:45,875] Iter: [3200/56000]	Time 0.396 (0.396)	Data 0.006 (0.006)	loss: 0.2306 (0.1767)	lr 0.001
[2021-12-30 03:40:25,554] Iter: [3300/56000]	Time 0.398 (0.396)	Data 0.006 (0.006)	loss: 0.2437 (0.1694)	lr 0.001
[2021-12-30 03:41:05,225] Iter: [3400/56000]	Time 0.398 (0.396)	Data 0.006 (0.006)	loss: 0.1548 (0.1686)	lr 0.001
[2021-12-30 03:41:44,919] Iter: [3500/56000]	Time 0.396 (0.398)	Data 0.005 (0.006)	loss: 0.2464 (0.1984)	lr 0.001
[2021-12-30 03:42:24,611] Iter: [3600/56000]	Time 0.397 (0.397)	Data 0.006 (0.006)	loss: 0.1216 (0.1686)	lr 0.001
[2021-12-30 03:43:04,281] Iter: [3700/56000]	Time 0.398 (0.397)	Data 0.006 (0.006)	loss: 0.1932 (0.1571)	lr 0.001
[2021-12-30 03:43:43,971] Iter: [3800/56000]	Time 0.397 (0.396)	Data 0.005 (0.006)	loss: 0.1761 (0.1625)	lr 0.001
[2021-12-30 03:44:23,682] Iter: [3900/56000]	Time 0.396 (0.398)	Data 0.005 (0.006)	loss: 0.1427 (0.1801)	lr 0.001
[2021-12-30 03:45:03,368] Iter: [4000/56000]	Time 0.398 (0.397)	Data 0.006 (0.006)	loss: 0.22 (0.1771)	lr 0.001
[2021-12-30 03:45:07,580] Validation Iter: [4000]	Time 0.168 (0.386)	Data 0.005 (0.234)	loss: 0.1354 (0.1365)	
[2021-12-30 03:45:47,242] Iter: [4100/56000]	Time 0.395 (0.395)	Data 0.006 (0.006)	loss: 0.2178 (0.1671)	lr 0.001
[2021-12-30 03:46:26,919] Iter: [4200/56000]	Time 0.395 (0.396)	Data 0.005 (0.006)	loss: 0.1784 (0.1721)	lr 0.001
[2021-12-30 03:47:06,601] Iter: [4300/56000]	Time 0.396 (0.397)	Data 0.005 (0.006)	loss: 0.17 (0.1721)	lr 0.001
[2021-12-30 03:47:46,281] Iter: [4400/56000]	Time 0.396 (0.396)	Data 0.006 (0.006)	loss: 0.2131 (0.1764)	lr 0.001
[2021-12-30 03:48:25,948] Iter: [4500/56000]	Time 0.398 (0.396)	Data 0.006 (0.006)	loss: 0.188 (0.1722)	lr 0.001
[2021-12-30 03:49:05,620] Iter: [4600/56000]	Time 0.396 (0.396)	Data 0.006 (0.006)	loss: 0.232 (0.1699)	lr 0.001
[2021-12-30 03:49:45,319] Iter: [4700/56000]	Time 0.396 (0.397)	Data 0.006 (0.006)	loss: 0.1474 (0.1636)	lr 0.001
[2021-12-30 03:50:25,016] Iter: [4800/56000]	Time 0.397 (0.398)	Data 0.006 (0.006)	loss: 0.1416 (0.1861)	lr 0.001
[2021-12-30 03:51:04,714] Iter: [4900/56000]	Time 0.398 (0.397)	Data 0.006 (0.006)	loss: 0.2066 (0.2021)	lr 0.001
[2021-12-30 03:51:44,416] Iter: [5000/56000]	Time 0.395 (0.397)	Data 0.006 (0.006)	loss: 0.1207 (0.1864)	lr 0.001
[2021-12-30 03:52:24,096] Iter: [5100/56000]	Time 0.398 (0.398)	Data 0.006 (0.006)	loss: 0.1493 (0.174)	lr 0.001
[2021-12-30 03:53:03,779] Iter: [5200/56000]	Time 0.398 (0.398)	Data 0.006 (0.006)	loss: 0.1656 (0.1597)	lr 0.001
[2021-12-30 03:53:43,472] Iter: [5300/56000]	Time 0.397 (0.396)	Data 0.005 (0.006)	loss: 0.1287 (0.15)	lr 0.001
[2021-12-30 03:54:23,153] Iter: [5400/56000]	Time 0.398 (0.397)	Data 0.005 (0.006)	loss: 0.1659 (0.1987)	lr 0.001
[2021-12-30 03:55:02,859] Iter: [5500/56000]	Time 0.399 (0.399)	Data 0.006 (0.006)	loss: 0.1352 (0.1811)	lr 0.001
[2021-12-30 03:55:42,557] Iter: [5600/56000]	Time 0.399 (0.397)	Data 0.006 (0.006)	loss: 0.2245 (0.1603)	lr 0.001
[2021-12-30 03:56:22,193] Iter: [5700/56000]	Time 0.395 (0.397)	Data 0.006 (0.006)	loss: 0.07359 (0.1365)	lr 0.001
[2021-12-30 03:57:01,862] Iter: [5800/56000]	Time 0.398 (0.397)	Data 0.006 (0.006)	loss: 0.1874 (0.1761)	lr 0.001
[2021-12-30 03:57:41,560] Iter: [5900/56000]	Time 0.397 (0.397)	Data 0.006 (0.006)	loss: 0.1121 (0.1544)	lr 0.001
[2021-12-30 03:58:21,264] Iter: [6000/56000]	Time 0.395 (0.397)	Data 0.006 (0.006)	loss: 0.143 (0.1675)	lr 0.001
[2021-12-30 03:58:25,485] Validation Iter: [6000]	Time 0.154 (0.386)	Data 0.005 (0.232)	loss: 0.1737 (0.1689)	
[2021-12-30 03:59:05,149] Iter: [6100/56000]	Time 0.399 (0.397)	Data 0.006 (0.006)	loss: 0.2932 (0.1665)	lr 0.001
[2021-12-30 03:59:44,834] Iter: [6200/56000]	Time 0.397 (0.398)	Data 0.006 (0.006)	loss: 0.2197 (0.161)	lr 0.001
[2021-12-30 04:00:24,522] Iter: [6300/56000]	Time 0.399 (0.396)	Data 0.006 (0.006)	loss: 0.1928 (0.172)	lr 0.001
[2021-12-30 04:01:04,214] Iter: [6400/56000]	Time 0.394 (0.397)	Data 0.006 (0.006)	loss: 0.1474 (0.1682)	lr 0.001
[2021-12-30 04:01:43,897] Iter: [6500/56000]	Time 0.395 (0.396)	Data 0.006 (0.006)	loss: 0.1676 (0.1613)	lr 0.001
[2021-12-30 04:02:23,598] Iter: [6600/56000]	Time 0.401 (0.398)	Data 0.006 (0.006)	loss: 0.1529 (0.1385)	lr 0.001
[2021-12-30 04:03:03,278] Iter: [6700/56000]	Time 0.397 (0.397)	Data 0.006 (0.006)	loss: 0.1044 (0.1528)	lr 0.001
[2021-12-30 04:03:42,985] Iter: [6800/56000]	Time 0.396 (0.397)	Data 0.006 (0.006)	loss: 0.1389 (0.1646)	lr 0.001
[2021-12-30 04:04:22,643] Iter: [6900/56000]	Time 0.400 (0.396)	Data 0.005 (0.006)	loss: 0.2404 (0.1565)	lr 0.001
[2021-12-30 04:05:02,307] Iter: [7000/56000]	Time 0.395 (0.396)	Data 0.005 (0.006)	loss: 0.09575 (0.1568)	lr 0.001
[2021-12-30 04:05:42,013] Iter: [7100/56000]	Time 0.397 (0.398)	Data 0.006 (0.006)	loss: 0.1606 (0.1676)	lr 0.001
[2021-12-30 04:06:21,703] Iter: [7200/56000]	Time 0.397 (0.398)	Data 0.006 (0.006)	loss: 0.1739 (0.1801)	lr 0.001
[2021-12-30 04:07:01,426] Iter: [7300/56000]	Time 0.397 (0.398)	Data 0.006 (0.006)	loss: 0.1185 (0.1654)	lr 0.001
[2021-12-30 04:07:41,124] Iter: [7400/56000]	Time 0.398 (0.397)	Data 0.006 (0.006)	loss: 0.1346 (0.157)	lr 0.001
[2021-12-30 04:08:20,811] Iter: [7500/56000]	Time 0.395 (0.396)	Data 0.006 (0.006)	loss: 0.1869 (0.1767)	lr 0.001
[2021-12-30 04:09:00,480] Iter: [7600/56000]	Time 0.396 (0.395)	Data 0.006 (0.006)	loss: 0.1743 (0.1552)	lr 0.001
[2021-12-30 04:09:40,213] Iter: [7700/56000]	Time 0.397 (0.397)	Data 0.006 (0.006)	loss: 0.1608 (0.1655)	lr 0.001
[2021-12-30 04:10:19,888] Iter: [7800/56000]	Time 0.397 (0.396)	Data 0.005 (0.006)	loss: 0.1115 (0.1497)	lr 0.001
[2021-12-30 04:10:59,615] Iter: [7900/56000]	Time 0.398 (0.398)	Data 0.006 (0.006)	loss: 0.1551 (0.1737)	lr 0.001
[2021-12-30 04:11:39,316] Iter: [8000/56000]	Time 0.397 (0.397)	Data 0.006 (0.006)	loss: 0.1914 (0.1616)	lr 0.001
[2021-12-30 04:11:43,554] Validation Iter: [8000]	Time 0.168 (0.387)	Data 0.005 (0.233)	loss: 0.1456 (0.1407)	
[2021-12-30 04:12:23,234] Iter: [8100/56000]	Time 0.398 (0.396)	Data 0.006 (0.006)	loss: 0.1456 (0.1444)	lr 0.001
[2021-12-30 04:13:02,918] Iter: [8200/56000]	Time 0.396 (0.397)	Data 0.006 (0.006)	loss: 0.1837 (0.1547)	lr 0.001
[2021-12-30 04:13:42,634] Iter: [8300/56000]	Time 0.397 (0.398)	Data 0.006 (0.006)	loss: 0.1362 (0.1682)	lr 0.001
[2021-12-30 04:14:22,296] Iter: [8400/56000]	Time 0.396 (0.397)	Data 0.006 (0.006)	loss: 0.1306 (0.1601)	lr 0.001
[2021-12-30 04:15:02,005] Iter: [8500/56000]	Time 0.392 (0.396)	Data 0.005 (0.006)	loss: 0.1035 (0.148)	lr 0.001
[2021-12-30 04:15:41,736] Iter: [8600/56000]	Time 0.398 (0.397)	Data 0.005 (0.006)	loss: 0.1584 (0.1729)	lr 0.001
[2021-12-30 04:16:21,465] Iter: [8700/56000]	Time 0.397 (0.398)	Data 0.006 (0.006)	loss: 0.1757 (0.1798)	lr 0.001
[2021-12-30 04:17:01,175] Iter: [8800/56000]	Time 0.396 (0.397)	Data 0.005 (0.006)	loss: 0.1426 (0.1525)	lr 0.001
[2021-12-30 04:17:40,878] Iter: [8900/56000]	Time 0.397 (0.397)	Data 0.005 (0.006)	loss: 0.1117 (0.1444)	lr 0.001
[2021-12-30 04:18:20,559] Iter: [9000/56000]	Time 0.399 (0.396)	Data 0.006 (0.006)	loss: 0.197 (0.1559)	lr 0.001
[2021-12-30 04:19:00,265] Iter: [9100/56000]	Time 0.398 (0.398)	Data 0.005 (0.006)	loss: 0.2038 (0.1656)	lr 0.001
[2021-12-30 04:19:39,964] Iter: [9200/56000]	Time 0.397 (0.396)	Data 0.006 (0.006)	loss: 0.1694 (0.1422)	lr 0.001
[2021-12-30 04:20:19,645] Iter: [9300/56000]	Time 0.400 (0.397)	Data 0.006 (0.006)	loss: 0.1681 (0.1525)	lr 0.001
[2021-12-30 04:20:59,353] Iter: [9400/56000]	Time 0.395 (0.397)	Data 0.006 (0.006)	loss: 0.1223 (0.1487)	lr 0.001
[2021-12-30 04:21:39,054] Iter: [9500/56000]	Time 0.396 (0.396)	Data 0.006 (0.006)	loss: 0.1831 (0.1738)	lr 0.001
[2021-12-30 04:22:18,750] Iter: [9600/56000]	Time 0.394 (0.397)	Data 0.006 (0.006)	loss: 0.1162 (0.161)	lr 0.001
[2021-12-30 04:22:58,449] Iter: [9700/56000]	Time 0.395 (0.398)	Data 0.006 (0.006)	loss: 0.1793 (0.1736)	lr 0.001
[2021-12-30 04:23:38,167] Iter: [9800/56000]	Time 0.397 (0.397)	Data 0.005 (0.006)	loss: 0.1361 (0.1688)	lr 0.001
[2021-12-30 04:24:17,886] Iter: [9900/56000]	Time 0.396 (0.396)	Data 0.006 (0.006)	loss: 0.1492 (0.1437)	lr 0.001
[2021-12-30 04:24:57,588] Iter: [10000/56000]	Time 0.399 (0.397)	Data 0.006 (0.006)	loss: 0.1245 (0.14)	lr 0.001
[2021-12-30 04:25:01,856] Validation Iter: [10000]	Time 0.153 (0.390)	Data 0.005 (0.238)	loss: 0.1431 (0.136)	
[2021-12-30 04:25:41,587] Iter: [10100/56000]	Time 0.396 (0.397)	Data 0.006 (0.006)	loss: 0.1379 (0.1571)	lr 0.001
[2021-12-30 04:26:21,300] Iter: [10200/56000]	Time 0.396 (0.396)	Data 0.006 (0.006)	loss: 0.08575 (0.1329)	lr 0.001
[2021-12-30 04:27:01,001] Iter: [10300/56000]	Time 0.398 (0.397)	Data 0.006 (0.006)	loss: 0.1503 (0.1797)	lr 0.001
[2021-12-30 04:27:40,706] Iter: [10400/56000]	Time 0.396 (0.398)	Data 0.006 (0.006)	loss: 0.1508 (0.1582)	lr 0.001
[2021-12-30 04:28:20,426] Iter: [10500/56000]	Time 0.395 (0.397)	Data 0.006 (0.006)	loss: 0.1997 (0.1592)	lr 0.001
[2021-12-30 04:29:00,150] Iter: [10600/56000]	Time 0.399 (0.397)	Data 0.006 (0.006)	loss: 0.1256 (0.1437)	lr 0.001
[2021-12-30 04:29:39,850] Iter: [10700/56000]	Time 0.396 (0.398)	Data 0.006 (0.006)	loss: 0.0927 (0.1473)	lr 0.001
[2021-12-30 04:30:19,574] Iter: [10800/56000]	Time 0.399 (0.398)	Data 0.006 (0.006)	loss: 0.2696 (0.1658)	lr 0.001
[2021-12-30 04:30:59,276] Iter: [10900/56000]	Time 0.398 (0.397)	Data 0.006 (0.006)	loss: 0.1537 (0.1622)	lr 0.001
[2021-12-30 04:31:38,952] Iter: [11000/56000]	Time 0.401 (0.397)	Data 0.006 (0.006)	loss: 0.1985 (0.1716)	lr 0.001
[2021-12-30 04:32:18,635] Iter: [11100/56000]	Time 0.392 (0.397)	Data 0.006 (0.006)	loss: 0.111 (0.1487)	lr 0.001
[2021-12-30 04:32:58,374] Iter: [11200/56000]	Time 0.395 (0.397)	Data 0.006 (0.006)	loss: 0.1025 (0.144)	lr 0.001
[2021-12-30 04:33:38,080] Iter: [11300/56000]	Time 0.398 (0.398)	Data 0.006 (0.006)	loss: 0.09037 (0.1592)	lr 0.001
[2021-12-30 04:34:17,800] Iter: [11400/56000]	Time 0.396 (0.397)	Data 0.006 (0.006)	loss: 0.1456 (0.1676)	lr 0.001
[2021-12-30 04:34:57,520] Iter: [11500/56000]	Time 0.397 (0.396)	Data 0.006 (0.006)	loss: 0.2275 (0.158)	lr 0.001
[2021-12-30 04:35:37,231] Iter: [11600/56000]	Time 0.396 (0.398)	Data 0.006 (0.006)	loss: 0.1536 (0.15)	lr 0.001
[2021-12-30 04:36:16,939] Iter: [11700/56000]	Time 0.395 (0.397)	Data 0.006 (0.006)	loss: 0.1293 (0.1298)	lr 0.001
[2021-12-30 04:36:56,630] Iter: [11800/56000]	Time 0.394 (0.397)	Data 0.005 (0.006)	loss: 0.1454 (0.1435)	lr 0.001
[2021-12-30 04:37:36,349] Iter: [11900/56000]	Time 0.396 (0.396)	Data 0.006 (0.006)	loss: 0.1707 (0.1434)	lr 0.001
[2021-12-30 04:38:16,062] Iter: [12000/56000]	Time 0.398 (0.398)	Data 0.006 (0.006)	loss: 0.1468 (0.1587)	lr 0.001
[2021-12-30 04:38:20,325] Validation Iter: [12000]	Time 0.160 (0.390)	Data 0.005 (0.235)	loss: 0.09101 (0.129)	
[2021-12-30 04:39:00,030] Iter: [12100/56000]	Time 0.401 (0.396)	Data 0.006 (0.006)	loss: 0.1947 (0.1348)	lr 0.001
[2021-12-30 04:39:39,736] Iter: [12200/56000]	Time 0.399 (0.398)	Data 0.006 (0.006)	loss: 0.1649 (0.1562)	lr 0.001
[2021-12-30 04:40:19,424] Iter: [12300/56000]	Time 0.399 (0.398)	Data 0.006 (0.006)	loss: 0.1338 (0.1507)	lr 0.001
[2021-12-30 04:40:59,167] Iter: [12400/56000]	Time 0.398 (0.397)	Data 0.006 (0.006)	loss: 0.1543 (0.1724)	lr 0.001
[2021-12-30 04:41:38,902] Iter: [12500/56000]	Time 0.399 (0.397)	Data 0.006 (0.006)	loss: 0.2781 (0.1739)	lr 0.001
[2021-12-30 04:42:18,604] Iter: [12600/56000]	Time 0.397 (0.397)	Data 0.006 (0.006)	loss: 0.1919 (0.1562)	lr 0.001
